Número de Franquias,Número de Lojas por franquia,Distância Mínima,Algoritmo,Tempo de Execução,Arquivo de Dados
5,2,16,Força Bruta,1153021,5_franquias_2_lojas.txt
5,2,16,Branch and Bound,1071473,5_franquias_2_lojas.txt
5,2,32,Força Bruta,771144,5_franquias_2_lojas.txt
5,2,32,Branch and Bound,953620,5_franquias_2_lojas.txt
5,2,64,Força Bruta,1221874,5_franquias_2_lojas.txt
5,2,64,Branch and Bound,1085592,5_franquias_2_lojas.txt
5,2,128,Força Bruta,1620237,5_franquias_2_lojas.txt
5,2,128,Branch and Bound,13122914,5_franquias_2_lojas.txt
5,2,256,Força Bruta,9768221,5_franquias_2_lojas.txt
5,2,256,Branch and Bound,13088133,5_franquias_2_lojas.txt
5,2,512,Força Bruta,156241248,5_franquias_2_lojas.txt
5,2,512,Branch and Bound,11522722,5_franquias_2_lojas.txt
5,2,1024,Força Bruta,596626113,5_franquias_2_lojas.txt
5,2,1024,Branch and Bound,13663940,5_franquias_2_lojas.txt
,,0,Força Bruta,778181,exemplo_professor.txt
,,0,Branch and Bound,827532,exemplo_professor.txt
,,1,Força Bruta,1040644,exemplo_professor.txt
,,1,Branch and Bound,852575,exemplo_professor.txt
,,2,Força Bruta,1126663,exemplo_professor.txt
,,2,Branch and Bound,1106399,exemplo_professor.txt
,,4,Força Bruta,902057,exemplo_professor.txt
,,4,Branch and Bound,743685,exemplo_professor.txt
,,8,Força Bruta,918251,exemplo_professor.txt
,,8,Branch and Bound,1083035,exemplo_professor.txt
,,16,Força Bruta,829423,exemplo_professor.txt
,,16,Branch and Bound,895937,exemplo_professor.txt
,,32,Força Bruta,2161467,exemplo_professor.txt
,,32,Branch and Bound,17052392,exemplo_professor.txt
,,64,Força Bruta,8073896,exemplo_professor.txt
,,64,Branch and Bound,12901047,exemplo_professor.txt
,,128,Força Bruta,184042957,exemplo_professor.txt
,,128,Branch and Bound,31728514,exemplo_professor.txt
,,256,Força Bruta,867777457,exemplo_professor.txt
,,256,Branch and Bound,15640993,exemplo_professor.txt
,,512,Força Bruta,1221384420,exemplo_professor.txt
,,512,Branch and Bound,16897473,exemplo_professor.txt
,,1024,Força Bruta,1136177725,exemplo_professor.txt
,,1024,Branch and Bound,19331853,exemplo_professor.txt
